Nie bój się!	Niy bōj sie!
Gdy dokonała dzieła i z wnętrza gęsi wyjęła ponętne nadzienie, zabrzmiał dokoła stołu radosny szmer, a nawet Mały Tim, podniecony przez dwoje małych Cratchitów, uderzył trzonkiem noża o stół i zawołał słabym głosikiem:	Jak nōż weszoł do postrzodka, a pokŏzoł sie filōng, wszyjscy stynkli we zachwycyniu, nawet mały Tim podrajcowany społym ze małymi Cratchitami, klupnōł łyżkōm we stōł i słabućko krziknōł „Hura!”
Na wystawach sklepów gałązki i jagody ostrokrzewu pękały w cieple lamp, które oświecały też blade twarze przechodniów.	Liście ôstrokrzewu i jymioły ôdbijały światło choby mocka rozsutych małych zdrzadeł, a ôgyń tańcowoł we kōminku taki srogi, iże takigo niy było tam za Scrooge’a, Marleya ani bez moc zim przed niymi.
Pewien młodociany właściciel małego, chudego nosa, nadgryzanego i chrupanego przez głodne zimno tak, jak psy chrupią kości, pochylił się przy dziurce od klucza do drzwi wejściowych kantoru Scrooge'a, aby szanownego przedstawiciela firmy uraczyć pieśnią świąteczną; lecz zaledwie zdążył wyśpiewać pierwsze wyrazy:	Mały kolyndnik ze modrym nosym, pogryziōnym i ôbtarmolōnym zimōm choby te kości, co je psy tarmolōm, schylōł sie przi Scrooge’owyj dziurce ôd klucza, coby mu zaśpiywać kolyndã, ale przi piyrszych źwiynkach „Cichyj nocy” Scrooge chyciōł linijŏrz ze takōm ynergijōm, iże śpiywŏk uciyk ze takim strachym, że ôstawiōł dziurkã we mgle i zimie.
Mój Boże, jakże jesteście szczęśliwe!	Je, jakeście wy sōm szczyńśliwe!
— Tak.	– Ano.
Zgrzybiały starzec, jego sędziwa żona, w otoczeniu dzieci, wnuków i prawnuków, wszyscy w odświętnych szatach.	Stary chop i baba ze swojimi dzieckami i dzieckami ôd tych dziecek, i jeszcze jednōm gyneracyjōm pō nich, wszyjscy ôblyczyni galantnie na Gody.
Królewicz pobiegł za nią, lecz nie udało mu się jej złapać.	Princ pobieżoł za niōm, ale niy mōg jij dogōnić.
Dlaboga!” Szczekanie psów, bieganie świateł po szybach, hałas w całym dworze…	Sakramyńcie!” Szczekanie psōw, lotanie świateł po szybach, larmo we cołkim dworze…
— Duchu — rzekł Scrooge pokornie —- prowadź mnie, dokąd chcesz.	– Duchu – pedzioł Scrooge spolygliwie – kludź mie kaj chcesz.
Chłopiec pomknął jak kula.	Synek wystrzelōł jak z gable.
— Najzupełniej serio!	– Już wiym!
Lecz rychło się opanował, odzyskał zimną krew, ujął za klucz, który przed chwilą puścił, obrócił go śmiało, otworzył drzwi, wszedł do sieni i zapalił świecę.	Chyciōł ale za klucz, przekryńciōł go wartko, weszoł do postrzodka i zapŏlōł świycã.
Scrooge pobiegł do okna swego kantoru i zaczął się chciwie rozpatrywać w jego wnętrzu.	Scrooge polecioł wartko do swojigo biōra i wejzdrzoł do postrzodka.
Oprócz Scrooge'a nikt w nim nie mieszkał.	– Nic takigo – pedzioł Scrooge.
— W każdym razie nie mogliście wybrać lepszego miejsca na taką schadzkę — rzekł Joe, wyjmując z ust fajkę. — Chodźcież do salonu.	– Niy mogli żeście sie trefić w lepszym placu – pedzioł Joe, jak wyraziōł fajfkã z gymby – Pōdź do paradnyj izby.
W ósmym roku chodził już jako potrzódka za bydłem lub, gdy w chałupie nie było co jeść, za bedłkami do boru.	W ôsmym roku chodziōł już za pachołka za gadzinōm abo, kej w chałpie niy było co jeś, za bedłkami do boru.
Usiadła wygodnie w dużym krześle ze stołeczkiem pod nogami, w zacisznym kąciku, w którym tuż za nią stali Duch i Scrooge.	Żōna ôd siostrzyńca niy grała ś niymi, ino siedziała na srogim stołku z ryczkōm pod nogami we cichyj ece, co w nij tyż duch i Scrooge stŏli.
— Wszystko to bardzo pięknie — przerwał mu Scrooge — muszę jednak oświadczyć panu, że wcale nie myślę dłużej znosić czegoś podobnego.	– Nic takigo – pedzioł Scrooge.
— Idź, Janku!	— Idź, Jōnek!
— W jaki tedy sposób?	– Tōż w czym?
Nie trać odwagi!	Niy urzykej!”
Noc była widna, jasna.	Noc była widno, jasno.
— Doskonale! — roześmiał się siostrzeniec, zacierając ręce. — A jakiż ty masz powód być ponurym, wuju?	– Dobre – ôdpedzioł siostrzyniec – to skuli czego tyś je smutny?
— Nie przyjdzie — odrzekła pani Cratchit.	– Niy przidzie – pedziała Cratchitowŏ.
A gdy stary Fezziwig i pani Fezziwig przeszli przez wszystkie fazy tańca, gdy wykonali wszystkie figury: naprzód, w tył, krzyże, balanse, koszyki itp., pan Fezziwig zdobył się na tak śmiały skok, że nogi zaplątały mu się w powietrzu i zdawało się, że je połamie; na szczęście obeszło się bez katastrofy.	A kej stary Fezziwig i ôd niego ślubnŏ przetańcowali cołki taniec, ôn skoczōł tak zwyrtnie, iże zdŏwało sie, że ôn klasnōł nogami i stanōł na nich nazŏd.
— Szkoła nie jest jeszcze zupełnie pusta — zauważył Duch. — Znajduje się tam jakieś samotne dziecko, zapomniane i opuszczone przez wszystkich.	Szkoła niyma cołkym pustŏ – pedzioł duch. – Samotne dziecko, co je kamraciŏ ôstawiyli, durch tam je.
Jednocześnie zjawiły się kosmate kuce, biegnące ku nim truchtem, z małymi chłopcami na grzbietach, którzy nawoływali wesoło innych chłopców, jadących w wózkach wiejskich.	Chociŏż dopiyro wyszli ze szkoły, już byli we zaciźbiōnym mieście, kaj mijali ich tajymni ludzie, tak samo tajymne kolasy biyły sie ô plac, coby przejechać, a słychać było cołke larmo i tumult srogigo miasta.
Echo też… W polu grała mu bylica, w sadku pod chałupą ćwirkotały wróble, aż się wiśnie trzęsły!	Echo tyż… W polu grała mu bulica, w sadku pod chałpōm ćwiyrkały wrōble, aże sie wiśnie trzynsły!
Składała się ona z ulic ciemnych, pełnych błota; domy i sklepy były tu nędzne, mieszkańcy bosi, półnadzy, pijani, budzili wstręt i obrzydzenie.	Drōgi były ôszkliwe i ciasne, sklepy i chałpy liche, ludzie łaziyli po pōłnagu, ôżarci, niyôkludni, żadni.
Życzę mu wesołych świąt i szczęśliwego Nowego Roku!	Radosnych Godōw i szczyńśliwego nowego roku!
Duch rozpostarł nad nim swój całun, jak gdyby skrzydła, po chwili zaś opuścił go i naraz Scrooge ujrzał jasny, słoneczny pokój, w którym znajdowała się matka z dziećmi.	Scrooge tego niy czuł, ale widzioł, bo chociŏż duch siedzioł bez ruchu, jego wosy i ôblyczynie leko sie ruszały, choby skuli gorkigo luftu z jakigo pieca.
Pod krzyżowym ogniem pytań, na które był wystawiony, musiał się przyznać, że kolejno: myślał o zwierzęciu, o żywym zwierzęciu, o niemiłym zwierzęciu, o dzikim zwierzęciu, o zwierzęciu, które czasami mruczało, czasami mówiło, mieszkało w Londynie, chodziło po ulicach, nie było wystawione na widok publiczny, nie było przez nikogo wodzone, nie znajdowało się w menażerii, nie było zabijane w rzeźni, nie było ani koniem, ani osłem, ani krową, ani bykiem, ani tygrysem, and psem, ani świnią, ani kotem, ani niedźwiedziem.	Miyszkała we Lōndynie, łaziyła po ulicach, niy była pokazowanŏ ludziōm do szpasu, niy żyła w zoo, żŏdyn jij niy kludziōł ani niy zaszlachtowoł na tŏrgu, niy była kōniym, ôsłym, krowōm, bykym, tigrym, psym, świniōm, kotym, ani niedźwiedziym.
Biedny, mały, skulony kształt z wolna i ostrożnie posunął się naprzód, a tymczasem słowik cichuteńko pogwizdywał: „Idź!	Biydno, mało, skulōno forma pōmału i ôstrożnie pōnkła sie do przodku, a wtynczos słowik cichusiyńko pogwizdowoł: „Idź!
Każdy pokój na piętrze i każda beczka w piwnicy zdawały się odpowiadać mu osobnym echem.	Kożdŏ izba na wiyrchu i kożdŏ beczka ôd handlyrza winym we pywnicy zdŏwały sie ôdpedzieć włŏsnym szlagym echa.
Jakże tu sądzić taką biedę, co ma lat dziesięć i ledwo na nogach stoi?	Jak to sōndzić tako chudoba, co mu je dziesiyńć lot i ledwo na nogach stoji?
Na głos czarownicy splatała warkocze, przywiązywała je do ramy okiennej i spuszczała dwadzieścia łokci w dół, a czarownica wspinała się po nich jak po sznurze.	Repōnczka miała szumne duge wosy, delikatne jak przyndzōne złoto, a kej słyszała głos ôd czarownice, to rozpinała swōj warkocz, ôwijała go na klamce ôd ôkna, i potym wosy ôpadały dwadziścia miŏr w dōł, a czarownica sie pō nich spinała.
Ding dong!	Dick!
On sądził, że mógł wzruszyć Scrooge'a, jak gdyby tego starego kutwę mogło co na świecie wzruszyć.	Przi tym klangu muzyki, wszyjskich rzeczach, co mu mŏra pokŏzała, Scrooge miynknōł corŏz barzij i myśloł sie, keby mōg ino posuchać takigo czegoś wczaśnij, moc lŏt do zadku, to możno by bōł barzij szczodliwy ku swojij włŏsnyj radości i bez trefianiŏ sie z duchym ôd Jakōba Marleya.
— Czego ci brak, droga żono?	— Co ci dolygŏ, kochanŏ żōno?
Szerokie piersi były odsłonięte, jak gdyby nic nie zależało mu na tym, aby je zakrywać.	Wisioł na nim tak swobodnie, iże pierś mioł nagõ, choby niy mioł co skrywać pod jakimi trikami.
Dobrze mu tak!	Niych mu sie darzi!
— Przeszło dziewięciuset — odpowiedział Duch.	– Przez tysiōnc ôźmiuset – rzeknōł duch.
Ponieważ zaś kufer pana Scrooge'a został tymczasem przymocowany już na wierzchu dyliżansu, dzieci pożegnały nauczyciela uprzejmie i wsiadłszy do pojazdu, odjechały drogą ogrodową, na której pod szybko obracającymi się kołami rozpryskiwał się szron i śnieg w drobne krople.	Kofer ôd panŏczka Scrooge’a bōł już prziwiōnzany do wiyrchu ôd kolasy, bajtle pożegnały sie ze dyrechtorym i z uciechōm ôdjechały drōgōm, a spod kōł wyskŏkowoł śniyg i czŏrne liście.
Nie będę temu przeczył, Duchu.	Ale niy mōm władzy, duchu.
Chłopak ledwo „zipał”, ale zipał; aż w czwartym roku okukała kukułka na wiosnę chorobę, więc się poprawił i w jakim takim zdrowiu doszedł do dziesiątego roku życia.	Synek ledwo dychoł, ale dychoł; aż we sztwortym roku ôkukała kukōwka niymoc na wiosna, tōż sie poprawiōł i w jako takim zdrowiu doszoł do dziesiōntego roku życio.
Nad Jankiem szumiały brzozy…	Nad Jōnkym szumiały brzozy…
Zbliżył się przeto do niego, chwycił za obie ręce i ściskając je, rzekł:	Ôd niego palec skŏzoł dwōch ludzi, co sie prawie trefiyli.
— Rozumiem, życzysz pan sobie pozostać ofiarodawcą bezimiennym?	– Chcecie być anōnimowi?
To zdawało się mieć jedną tylko nogę, to jedną tylko rękę, to znów parę nóg tylko, to korpus bez głowy, to wreszcie głowę bez korpusu, Zmiany te odbywały się tak szybko, że nie można było dokładnie rozpoznać, gdzie znikały części tej postaci.	Rŏz miała jednã rynkã, jednã nogã, dwadziścia nōg, dwie nogi, ale bez gowy, gowã bez ciała, a kej te czōnki sie traciyły we ćmie to ani ôd nich ciynia niy szło dojzdrzeć.
— To niepodobna — mruczał Scrooge — żebym przespał dzień i część drugiej nocy.	– Niy mōg żech przecã spać cołki dziyń – pedzioł Scrooge. – Niymożliwe, że słōńce sie straciyło i to je dwanŏstŏ w połednie.
— Słowami nie.	– We słowach?
Myślałam, że udało mi się odgrodzić cię od świata, a tyś mnie oszukała!	Myślałach, żech cie ôddzielyła ôd cołkigo świata, a jednakeś mie zdradziyła!
Naraz w sieni rozległ się straszny głos:	Straszny głos ryknōł we antryju:
— Przykro mi bardzo, żeś taki twardy.	– Naprŏwdã mi żŏl, żeś taki twardy.
— Nie, nie, dosyć! — błagał Scrooge. — Nie chcę nic więcej widzieć!	– Niy, niy – pedzioł Scrooge. – Ô, niy, dobry duchu!
— Prowadź mnie zatem, prowadź — rzekł Scrooge. — Czas szybko uchodzi, a wiem, że jest on dla mnie bardzo drogi.	– To dej mi pokōj – pedzioł Scrooge. – Tak bydzie nojlepij.
Zimno przejmowało do kości.	Zima zrobiyła sie srogŏ.
Jezu!”, padła twarzą na skrzynię i zaczęła ryczeć, jakby straciła rozum albo jak człowiek, co widzi, że od śmierci nie wydrze swego kochania…	Jezu!”, padła gymbōm na kastla i wziōnła ryczeć, choby straciyła rozum abo jak czowiek, co widzi, iże ôd śmierci niy wytargo swojigo kochanio…
Pomocnik przyrzekł zastosować się do tego żądania, po czym Scrooge wyszedł, wciąż mrucząc gderliwie.	Tamtyn prziôbiecoł, iże tak zrobi, a Scrooge wyszoł z warczyniym pod nosym.
— Jemu zawdzięczamy? — zawołała pani Cratchit z oburzeniem. — Pragnęłabym bardzo, żeby tu się zjawił.	– Niy przidzie – pedziała Cratchitowŏ.
Biedne, potrzaskane skrzypki!…	Biydno, potrzaskano skrzipka!…
— Gdzie jest?	– Tōż w czym?
Siostrzenica Scrooge'a nie uczestniczyła w tej grze.	– Nic takigo – pedzioł Scrooge.
— Widzę próżne krzesło przy kominku — odparł Duch — i starannie przechowywane kule bez właściciela.	– Widzã pusty plac we ece i berło bez posiedziciela – ôdpedzioł duch – Jak te ciynie niy bydōm zmiyniōne, bajtel umrzi.
Duch mógł (co Scrooge zauważył już u piekarza), pomimo swej olbrzymiej postaci, dostawać się wszędzie z łatwością i wszędzie, zarówno w niskiej lepiance, jak i we wspaniałej sali pałacu, przedstawiał się pięknie i imponująco, jak przystało na istotę nadprzyrodzoną.	I jak Scrooge i duch szli tak ulicami, jasność ôgni we kuchniach, paradnych izbach i wszyjskich inkszych, była szumnŏ.
Otóż nie ulega wątpliwości, że Marley nie żył.	Marley na zicher bōł umarty.
— Dlaczego nie ufasz swoim zmysłom?	– Czymu niy wierzisz swojim zmysłōm?
Ale nie chce mi się wierzyć, żeby Topper naprawdę nic nie widział, mając przewiązane oczy; wszakże oczu w trzewikach nie nosił.	I niy wierzã barzij w to, iże Topper richtich nic niy widzioł aniżeli w to, że mioł ôczy w strzewikach.
A przecież, odkąd się rozstały, ani przez chwilę wcale nie chciało się jej spać!	A niy chciało jij sie dyć spać ôd czasu, jak ône poszły.
— Pierwsza! — zawołał Scrooge tryumfalnie. — Pierwsza i nic!	– Nic! – ôdpedzioł Scrooge.
— Zdrowie wuja Scrooge'a! — zawołali wszyscy.	– Za ujka Scrooge’a – ôdkrzikli wszyjscy.
Scrooge chciał to uczynić, pragnął zobaczyć twarz nieboszczyka, ale obawiał się, sił mu brakło.	Scrooge wejzdrzoł na zŏl naôbkoło, choby chcioł dojzdrzeć tã swojã ketã, ale niy widzioł nic.
Ta słabość nawet mnie rujnuje — wyrzekał stary Joe. — Twój rachunek, pani Wilber.	To je moja słabość i tak sie kejś zrujnujã – pedzioł Joe. – To je wasze kōnto.
Każdy członek rodziny Cratchitów wstydziłby się, gdyby mu coś podobnego choćby tylko przyszło do głowy.	Kożdy Cratchit by sie rozpŏlōł ino na myśl ô tym.
— Zgadnij.	– Toć.
— Więc cóż?	– A co?
— Ale nie patrzysz na nią — podchwycił Scrooge.	– Niy dziwŏsz sie na niego – pedzioł Scrooge.
— Nie pójdziesz–że ty do domu, utrapieńcze?	— Niy pōdziesz to do dōm, buksie jedyn?
Cudownie!	Gyszefty!
Scrooge zmieszał się, poruszył niespokojnie i szepnął jakby ze skruchą:	Scrooge dziwoł sie na ducha, smutno pokryńciōł gowōm i zestarany wejzdrzoł na dźwiyrze.
— Nie wiem.	– Niy.
Scrooge czuł, że siedzieć tak i patrzeć w martwe, szklane oczy widma nie może.	Możesz sie siednōńć? – spytoł Scrooge i patrzoł na niego bez wiary.
Teraz, bez próbowania, uderzyła w struny i zagrała krótką, prostą melodię (ot, drobnostka, mógłbyś nauczyć się jej gwizdać w dwie minuty), a znała ją doskonale owa dziewczynka, która ongi zabrała Scrooge'a ze szkoły…	Ślubnŏ ôd Freda grała na harfie prostõ melodyjõ (nic wielkigo: szłoby sie nauczyć gwizdać take coś za dwie minuty), co tyż jã śpiywała ta małŏ dziouszka, co wziōnła Scrooge’a ze szkoły.
— Nie widziałeś dotychczas nikogo do mnie podobnego? — zapytał Duch.	– Nigdyś mie jeszcze niy widzioł?! – krziknōł duch.
— Wejdź! — zawołał ów Duch. — Wejdź, przyjacielu, musimy się przecież poznać.	– Właź! – krziknōł duch. – Właź, pogŏdōmy sie, chopie!
— Sprawiedliwe nieba! — zawołał Scrooge, rozglądając się dokoła i uderzając w ręce. — Przecież to moja wioska rodzinna… Wychowałem się tutaj, bawiłem się z rówieśnikami… Tak, tu spędziłem lata chłopięce…	– Mōj dobry panŏczku – pedzioł Scrooge i chyciōł go za ramiōna – Jak sie mŏcie?
— Czyż nie istnieje pomoc dla tych stworzeń? — wyszeptał Scrooge.	– A niy ma to heresztōw? – zapytoł Scrooge.
Prędzej!	Hop!
— Nie bądź taki kwaśny, wuju! — rzekł siostrzeniec.	– Niy bydź taki, ujek! – prawiōł siostrzyniec.
Zachwycająco!	Gyszefty!
— Jedno dziecko — poprawił Scrooge.	– Jednego – ôdpedzioł Scrooge.
— Biedny, biedny chłopiec! — szepnął i znów zapłakał.	Biydny synek! – pedzioł Scrooge – I Walynty, i Orsōn!
— Dobrze powiedziane, mój chłopcze — pochwalił go ojciec. — Mam nadzieję, że tak jest istotnie, a nawet jestem o tym przekonany. „Szczerze wam obojgu współczuję, moi państwo”, powtórzył siostrzeniec Scrooge'a i dając mi swój bilet, nadmienił: „Oto mój bilet.	– Mōj dobry panŏczku – pedzioł Scrooge i chyciōł go za ramiōna – Jak sie mŏcie?
— Jest on po prostu starym dziwakiem — zaopiniował siostrzeniec Scrooge'a. — Nie mylę się: starym dziwakiem i do tego nieznośnym.	– To je niyprzileżytość – prawiōł Scrooge – i to niyma sprawiedliwe.
— Twoje dobro! — odparł Duch.	– Twoje szczyńście – pedzioł duch.
Ale błyskawica zgasła, księżyc przesłoniła chmurka i nic już nie było widać ani słychać.	Ale blic zgos, miesiōnczek przesłōniyła chmōrka i nic już niy było widać ani słyszeć.
